服务端,实体名,实体参数,参数类型
admin,washarea,"['wash_area_id', 'name', 'province', 'city', 'city_code', 'district', 'address', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'wash_normal', 'wash_group', 'user_group', 'enabled', 'status', 'service_type', 'car_washers', 'copywriting']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'Float', 'Float', 'string', 'Boolean', 'Float', 'Boolean', 'Boolean', 'Boolean', 'Boolean', 'int', 'int', 'string', 'string']"
admin,coupon,"['coupon_id', 'coupon_pool_id', 'user_id', 'coupon_name', 'coupon_type', 'coupon_channel', 'created_time', 'allow_use_start_time', 'allow_use_end_time', 'used_time', 'condition_money', 'discount', 'discount_money', 'status', 'service_types', 'order_types', 'service_group_ids', 'wash_area_ids', 'parking_ids', 'remark', 'car_id', 'mobile', 'is_point', 'order_no']","['string', 'string', 'string', 'string', 'int', 'int', 'string', 'time', 'time', 'string', 'int', 'int', 'int', 'int', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string']"
admin,couponpool,"['coupon_pool_id', 'coupon_template_id', 'coupon_template_name', 'coupon_type', 'allow_gain_start_time', 'allow_gain_end_time', 'allow_use_days', 'allow_use_start_time', 'allow_use_end_time', 'condition_money', 'discount', 'discount_money', 'is_coupon_number_limit', 'coupon_number', 'granted_number', 'is_allow_gain_number_limit', 'allow_gain_number', 'status', 'service_types', 'order_types', 'service_group_ids', 'wash_area_ids', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'is_point', 'parking_ids']","['string', 'string', 'string', 'int', 'time', 'time', 'int', 'time', 'time', 'int', 'int', 'int', 'boolean', 'int', 'int', 'boolean', 'int', 'int', 'string', 'string', 'string', 'string', 'time', 'time', 'string', 'boolean', 'time', 'int', 'string']"
admin,couponpointauto,"['coupon_point_auto_id', 'coupon_pool_id', 'coupon_name', 'user_type', 'enable', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'record_num_last_30_day', 'is_record_num_last_30_day', 'average_price_last_30_day', 'is_average_price_last_30_day', 'wash_interval', 'is_wash_interval', 'short_message_template_id', 'is_short_message_template']","['string', 'string', 'string', 'int', 'boolean', 'time', 'time', 'string', 'Boolean', 'time', 'int', 'boolean', 'int', 'boolean', 'int', 'boolean', 'string', 'boolean']"
admin,couponpointrecord,"['coupon_point_record_id', 'coupon_pool_id', 'coupon_name', 'coupon_type', 'granted_number', 'allow_gain_number', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'point_remark', 'auto_coupon_point', 'coupon_point_auto_id', 'short_message_template_id', 'is_short_message_template']","['string', 'string', 'string', 'string', 'int', 'int', 'time', 'time', 'string', 'Boolean', 'time', 'string', 'boolean', 'string', 'string', 'boolean']"
admin,couponpoint,"['coupon_point_id', 'coupon_point_record_id', 'coupon_pool_id', 'user_id', 'mobile', 'coupon_name', 'coupon_type', 'created_time', 'status', 'is_used', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'coupon', 'auto_coupon_point', 'coupon_point_auto_id']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'int', 'time', 'string', 'Boolean', 'time', 'string', 'boolean', 'string']"
admin,service,"['service_id', 'service_name', 'cost_price', 'price', 'wash_normal_price', 'wash_group_price', 'member_price', 'commission', 'description', 'order_by', 'standard_time', 'status', 'created_time', 'updated_time']","['String', 'String', 'int', 'int', 'Int', 'Int', 'int', 'int', 'String', 'Int', 'int', 'Int', 'Float', 'Float']"
admin,servicegroup,"['service_group_id', 'service_group_name', 'cost_price', 'service_original_price', 'wash_normal_price', 'wash_group_price', 'membership_price', 'commission_price', 'wash_normal_percent', 'wash_group_percent', 'membership_percent', 'service_group_price', 'pricing_strategy', 'services', 'intelligent_services', 'description', 'order_by', 'status', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', '<Service>', '<intelligent_service>', 'string', 'int', 'int', 'Float', 'Float', 'string', 'boolean', 'Float']"
admin,service,"['service_id', 'service_name']","['String', 'String']"
admin,intelligentservice,"['intelligent_service_id', 'name']","['String', 'String']"
admin,autowashgroup,"['wash_auto_group_id', 'wash_area_id', 'name', 'group_time_range', 'expect_time', 'expect_day', 'is_diff_car_type', 'people_num', 'people_day_num', 'service_groups', 'status', 'start_time', 'end_time', 'is_auto_robot', 'day_in_week', 'car_washers', 'auto_group', 'subscribe', 'subscribe_name', 'subscribe_day_num', 'subscribe_expect_time', 'subscribe_expect_day', 'active_time', 'created_time']","['string', 'string', 'String', 'int', 'int', 'int', 'bool', 'int', 'int', 'array', 'int', 'int', 'int', 'bool', 'array', 'array', 'boolean', 'boolean', 'string', 'int', 'int', 'int', 'float', 'float']"
admin,invitation,"['userid', 'mobile', 'invited_userid', 'invited_mobile', 'join_time', 'first_car_id', 'first_mobile', 'first_time', 'created_time', 'updated_time', 'remark']","['string', 'string', 'string', 'string', 'double', 'string', 'string', 'double', 'double', 'double', 'string']"
admin,coupondistributesetting,"['setting_id', 'category', 'coupon_pool_id', 'enabled', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'float', 'float', 'string', 'bool', 'float']"
admin,washusergroup,"['wash_user_group_id', 'name', 'order_by', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'Float', 'Float', 'string', 'boolean', 'Float']"
admin,usergroup,"['userid', 'mobile', 'name', 'sex', 'city', 'first_time', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'wash_user_group_id']","['string', 'string', 'string', 'int', 'string', 'Float', 'Float', 'Float', 'string', 'boolean', 'Float', 'string']"
admin,turntable,"['turntable_id', 'name', 'wash_user_groups', 'prizes', 'enabled', 'created_time', 'updated_time', 'status', 'remark']","['string', 'string', 'List<WashUserGroup>', 'List<Prize>', 'boolean', 'double', 'double', 'string', 'string']"
admin,turntableaward,"['wash_user_group_id', 'name']","['string', 'string']"
admin,carinfo,"['car_info_id', 'car_id', 'car_type', 'car_model', 'car_brand', 'car_series', 'car_color', 'car_frame_no', 'motor_no', 'order_counts', 'recent_order_time', 'licensed_time', 'car_year', 'car_images', 'car_tire_pressure', 'description', 'tag', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'int', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'float', 'string', 'string', 'array', 'array', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
admin,carposition,"['car_position_id', 'car_id', 'wash_area', '-wash_area_id', '-name', 'parking', '-parking_id', '-parking_name', 'entry_time', 'lon', 'lat', 'phase', 'floor', 'zone', 'space_no', 'ownership', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'json', 'string', 'string', 'json', 'string', 'string', 'float', 'string', 'string', 'string', 'string', 'string', 'string', 'int', 'float', 'float', 'string', 'boolean', 'float']"
