服务端,实体名,实体参数,参数类型
wxmp,turntable,"['turntable_id', 'name', 'wash_user_groups', 'prizes', 'enabled', 'created_time', 'updated_time', 'remark']","['string', 'string', 'List<WashUserGroup>', 'List<Prize>', 'boolean', 'double', 'double', 'string']"
wxmp,customerservice,"['customer_service_id', 'customer_service_no', 'wash_record_id', 'order_id', 'order_no', 'order_status', 'user_id', 'car_id', 'mobile', 'name', 'reason', 'description', 'opinion', 'remark', 'status', 'start_time', 'end_time', 'solve_seconds', 'created_time', 'operator', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string', 'int', 'float', 'float', 'int', 'float', 'string', 'float', 'string', 'boolean', 'float']"
wxmp,carmoveqrcode,"['car_move_qrcode_no', 'car_move_qrcode_id', 'user_id', 'mobile', 'wash_area_name', 'car_id', 'status', 'remark', 'qrcode_remark', 'created_time', 'updated_time', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'double', 'double', 'boolean', 'double']"
wxmp,washnormal,"['wash_normal_id', 'name', 'start_time', 'end_time', 'is_diff_car_type', 'people_day_num', 'wash_area', '-wash_area_id', '-name', 'expect_time', 'expect_day', 'day_in_week', 'active_time', 'car_washers', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'service_groups', 'car_type', 'time_loop_set', 'expect_type', 'expect_hour', 'min_price', 'max_price']","['string', 'string', 'int', 'int', 'boolean', 'int', 'json', 'string', 'string', 'int', 'int', 'array', 'Float', '<CarWasher>', 'float', 'float', 'string', 'boolean', 'float', 'array', 'string', 'int', 'int', 'int', 'int', 'int']"
wxmp,carwasher,"['car_washer_id', 'name', 'mobile']","['string', 'string', 'string']"
wxmp,washcomment,"['comment_id', 'order_no', 'order_id', 'car_id', 'mobile', 'user_id', 'car_images', 'level', 'comment_remark', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'wash_record_id']","['string', 'string', 'string', 'string', 'string', 'string', 'array', 'int', 'string', 'float', 'float', 'string', 'boolean', 'float', 'string']"
wxmp,summon,"['summon_id', 'user_id', 'name', 'location', 'lon', 'lat', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,usercontact,"['user_contact_id', 'user_id', 'car_id', 'mobile', 'name', 'car_type', 'is_default', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,parking,"['parking_id', 'parking_name', 'alias_name', 'wash_area', '-wash_area_id', '-name', 'area', 'out_parking_id', 'enabled', 'location', 'lon', 'lat', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time', 'parking_banners', 'use_home_banner', 'service_introduce', 'address', 'use_home_illustrate', 'province', 'city', 'district', 'position', 'landing_content']","['string', 'string', 'string', 'json', 'string', 'string', 'object', 'string', 'boolean', 'string', 'string', 'string', 'float', 'float', 'string', 'boolean', 'float', 'array', 'boolean', 'string', 'string', 'boolean', 'string', 'string', 'string', 'array', 'text']"
wxmp,homepagebanner,"['home_page_banner_id', 'banners', 'service_introduce', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'json', 'string', 'float', 'float', 'string', 'boolean', 'float']"
wxmp,washuser,"['user_id', 'wx_nickname', 'wx_avatarurl', 'mobile', 'city', 'gender', 'brand', 'model', 'position']","['string', 'string', 'string', 'string', 'string', 'int', 'string', 'string', 'string']"
wxmp,usercar,"['user_car_id', 'user_id', 'car_id', 'car_brand_id', 'car_brand', 'car_series', 'car_scale', 'car_model', 'car_model_id', 'car_series_id', 'is_default', 'created_time', 'updated_time', 'remark', 'is_deleted', 'deleted_time']","['string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'string', 'boolean', 'float', 'float', 'string', 'boolean', 'float']"
