admin  ||  intelligent_service  ||  编辑智能定价服务  ||  PUT  ||   /admin/intelligent_services/:intelligent_service_id  ||  ['name', 'choose_car_model_id', 'cost_price', 'min_cost_price', 'max_cost_price', 'price', 'min_price', 'max_price', 'wash_normal_price', 'min_wash_normal_price', 'max_wash_normal_price', 'wash_group_price', 'min_wash_group_price', 'max_wash_group_price', 'member_price', 'min_member_price', 'max_member_price', 'commission_percent', 'standard_time', 'special_car_models', 'order_by', 'description']  ||  ['string', 'string', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'int', 'array', 'int', 'string']  ||  ['T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'T', 'F', 'F']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  intelligent_service  ||  删除智能定价服务  ||  DELETE  ||   /admin/intelligent_services/:intelligent_service_id  ||    ||    ||    ||  ['204', '404', '403']  ||    ||  
admin  ||  car_series  ||  车系列表  ||  GET  ||   /admin/car_series  ||  ['car_brand', 'car_series_name', 'car_scale', 'car_model', 'is_active', 'is_car_model', 'page_num', 'page_size']  ||  ['string', 'string', 'string', 'string', 'boolean', 'boolean', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']  ||  ['403', '200']  ||  CarSeries  ||  
admin  ||  car_series  ||  编辑车系  ||  PUT  ||   /admin/car_series/:car_series_id  ||  ['car_model_id']  ||  ['string']  ||  ['T']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  car_series  ||  启用/禁用服务支持  ||  PATCH  ||   /admin/car_series/:car_series_id  ||  ['is_active']  ||  ['boolean']  ||  ['T']  ||  ['204', '403', '404', '422']  ||    ||  
admin  ||  car_series_price  ||  车系列表  ||  GET  ||   /admin/car_series_prices  ||  ['intelligent_service_id', 'car_brand_name', 'car_series_name', 'car_scale', 'car_model', 'page_num', 'page_size']  ||  ['string', 'string', 'string', 'string', 'string', 'int', 'int']  ||  ['T', 'F', 'F', 'F', 'F', 'F', 'F']  ||  ['403', '200']  ||  car_series_price  ||  
admin  ||  car_model  ||  车型列表  ||  GET  ||   /admin/car_models  ||  ['car_brand', 'car_series', 'car_scale', 'car_model', 'is_car_model', 'page_num', 'page_size']  ||  ['string', 'string', 'string', 'string', 'boolean', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  CarModel  ||  
admin  ||  car_model  ||  车型详情  ||  GET  ||   /admin/car_models/:car_model_id  ||    ||    ||    ||  ['404', '403', '200']  ||  CarModel  ||  
admin  ||  car_model  ||  品牌车型车系统计  ||  GET  ||   /admin/car_model_count  ||  ['car_brand', 'car_series', 'car_scale', 'car_model', 'is_car_model']  ||  ['string', 'string', 'string', 'string', 'boolean']  ||  ['F', 'F', 'F', 'F', 'F']  ||  ['403', '200']  ||    ||  
admin  ||  coupon_code  ||  优惠码列表  ||  GET  ||   /admin/coupon_code_records  ||  ['coupon_code_name', 'coupon_code_remark', 'page_num', 'page_size']  ||  ['string', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  CouponCodeRecord  ||  
admin  ||  coupon_code  ||  码库  ||  GET  ||   /admin/coupon_codes  ||  ['coupon_code_record_id', 'coupon_code_no', 'user_id', 'mobile', 'status', 'car_id', 'page_num', 'page_size']  ||  ['string', 'string', 'string', 'string', 'string', 'string', 'int', 'int']  ||  ['F', 'F', 'F', 'F', 'F', 'F', 'F', 'F']  ||  ['403', '200', '422']  ||  CouponCode  ||  
admin  ||  coupon_code  ||  添加优惠码  ||  POST  ||   /admin/coupon_code_records  ||  ['coupon_pool_id', 'created_number', 'is_new_user']  ||  ['string', 'int', 'boolean']  ||  ['T', 'T', 'F']  ||  ['403', '201', '422']  ||    ||  
